Date,Open,High,Low,Close,Adj Close,Volume
May 23,34.62,36.17,33.85,35.23,35.23,1,226
May 22,32.88,34.75,32.83,34.39,34.39,1,013
May 21,31.63,33.21,31.33,33.00,33.00,785
May 20,31.32,32.17,31.25,31.77,31.77,838
May 17,30.88,31.02,30.25,30.77,30.77,806
May 16,29.51,30.75,29.51,30.25,30.25,1,150
May 15,29.58,30.55,29.50,29.73,29.73,1,354
May 14,29.76,30.20,29.33,29.67,29.67,1,493
May 13,29.59,29.88,29.17,29.58,29.58,1,212
May 10,30.74,31.57,29.66,30.03,30.03,1,249
May 9,30.83,31.50,30.44,30.86,30.86,1,087
May 8,30.58,31.05,30.05,30.61,30.61,1,373
May 7,31.60,32.15,30.57,31.07,31.07,1,814
May 6,30.72,32.17,30.72,31.80,31.80,1,101
May 3,30.71,31.78,30.05,30.53,30.53,1,085
May 2,28.52,31.17,28.52,30.91,30.91,1,619
May 1,28.70,29.06,28.48,28.73,28.73,794
Apr 30,28.45,29.50,28.45,29.12,29.12,425
Apr 29,27.99,27.99,27.99,27.99,27.99,129
Apr 26,29.86,30.26,28.89,28.89,28.89,66
Apr 25,29.65,30.65,29.36,29.77,29.77,90
Apr 24,29.12,29.33,28.20,29.02,29.02,228
Apr 23,28.97,29.91,28.40,28.42,28.42,171
Apr 22,29.85,30.42,29.08,29.31,29.31,383
Apr 19,33.62,33.72,30.58,30.76,30.76,644
Apr 18,30.98,32.62,30.39,32.31,32.31,700
Apr 17,33.70,33.70,31.20,31.29,31.29,543
Apr 16,32.02,33.71,31.84,33.14,33.14,719
Apr 15,31.23,31.56,29.85,31.14,31.14,530
Apr 12,29.57,30.98,28.95,30.73,30.73,1,278
Apr 11,27.75,29.68,27.65,29.38,29.38,1,133
Apr 10,27.53,27.87,26.83,27.10,27.10,1,460
Apr 9,27.95,28.57,27.18,27.35,27.35,671
Apr 8,26.50,28.20,26.46,27.91,27.91,895
Apr 5,26.56,27.02,26.07,26.61,26.61,460
Apr 4,25.68,26.56,25.52,26.21,26.21,1,347
Apr 3,25.70,25.95,25.18,25.56,25.56,1,769
Apr 2,27.35,27.50,26.05,26.20,26.20,714
Mar 28,27.55,28.13,27.19,27.34,27.34,-
Mar 27,27.35,27.69,27.15,27.69,27.69,174
Mar 26,27.61,28.10,27.13,27.13,27.13,563
Mar 25,28.83,29.07,28.07,28.49,28.49,127
Mar 22,26.52,27.88,26.52,27.78,27.78,398
Mar 21,27.05,27.39,26.35,26.40,26.40,290
Mar 20,28.39,28.75,27.42,27.74,27.74,621
Mar 19,28.90,29.67,27.80,28.87,28.87,368
Mar 18,28.02,29.15,28.02,28.82,28.82,756
Mar 15,26.25,27.30,26.00,27.03,27.03,1,147
Mar 14,24.67,26.60,24.67,26.05,26.05,511
Mar 13,25.10,25.42,24.56,24.90,24.90,235
Mar 12,25.01,25.01,24.35,24.77,24.77,301
Mar 11,25.97,26.47,24.76,24.93,24.93,446
Mar 8,26.33,26.79,25.98,26.39,26.39,355
Mar 7,26.01,26.92,25.76,25.99,25.99,183
Mar 6,27.07,28.56,26.15,26.57,26.57,287
Mar 5,26.66,28.68,26.66,27.47,27.47,465
Mar 4,25.20,27.28,24.87,26.89,26.89,381
Mar 1,25.27,25.90,25.13,25.81,25.81,577
Feb 29,25.55,25.55,24.80,24.86,24.86,169
Feb 28,25.63,25.65,25.32,25.62,25.62,273
Feb 27,23.25,24.75,23.25,24.39,24.39,110
Feb 26,23.20,24.20,23.08,24.01,24.01,117
Feb 23,22.77,23.45,22.65,22.93,22.93,122
Feb 22,23.98,23.98,22.75,23.19,23.19,349
Feb 21,24.10,24.25,23.66,23.98,23.98,476
Feb 20,24.35,24.69,23.42,24.17,24.17,578
Feb 16,25.20,25.20,24.42,24.82,24.82,445
Feb 15,24.85,25.70,24.81,24.97,24.97,425
Feb 14,25.10,25.42,24.56,24.86,24.86,820
Feb 13,26.15,26.50,25.25,25.44,25.44,808
Feb 12,26.18,26.33,25.63,25.73,25.73,520
Feb 9,27.25,27.45,26.65,27.12,27.12,266
Feb 8,28.15,28.50,27.67,27.81,27.81,585
Feb 7,28.23,28.84,28.00,28.19,28.19,284
Feb 6,28.42,29.20,27.80,28.61,28.61,334
Feb 5,29.85,29.85,28.08,28.34,28.34,477
Feb 2,28.63,29.54,28.63,29.30,29.30,1,461
Feb 1,30.14,30.72,28.80,28.99,28.99,1,041
Jan 31,29.49,31.05,29.18,30.24,30.24,204
Jan 30,28.05,29.39,28.05,29.39,29.39,244
Jan 29,28.54,28.95,28.16,28.17,28.17,205
Jan 26,27.14,28.08,26.84,28.08,28.08,62
Jan 25,28.80,29.22,27.49,27.78,27.78,123
Jan 24,27.45,29.13,27.44,28.93,28.93,629
Jan 23,27.38,27.78,26.73,27.23,27.23,921
Jan 22,27.10,27.80,26.75,27.26,27.26,349
Jan 19,28.60,29.13,28.17,28.43,28.43,290
Jan 18,27.67,28.70,27.55,27.89,27.89,381
Jan 17,29.14,29.60,27.44,27.71,27.71,218
Jan 16,31.31,31.53,29.32,29.66,29.66,899
Jan 12,31.46,32.20,30.93,31.99,31.99,1,418
Jan 11,30.70,31.00,30.24,30.82,30.82,410
Jan 10,31.15,31.45,30.33,30.94,30.94,490
Jan 9,30.41,31.80,30.23,30.64,30.64,504
Jan 8,33.75,33.95,31.32,31.58,31.58,1,341
Jan 5,32.46,35.04,32.46,34.55,34.55,478
Jan 4,33.58,33.92,32.13,33.41,33.41,1,119
Jan 3,30.49,33.21,30.49,32.79,32.79,1,717
Jan 2,33.40,33.40,30.07,30.57,30.57,317
